,Unnamed: 0,vol_id,page_seq,entity,type,lat,lng,amount
1392616,1392665,mdp.39015004128289,215,Park Avenue,LOCATION,40.8108881,-73.9351109,1.0
1483242,1483291,hvd.32044021096433,401,Muskegon,LOCATION,43.2341813,-86.2483921,1.0
417167,417176,uva.x004346812,17,Atlanta,LOCATION,33.7489924,-84.3902644,8.0
901426,901451,uc1.$b803101,296,Chicago,LOCATION,41.8755616,-87.6244212,11.0
2057502,2057595,mdp.39015014135811,316,Lake Street,LOCATION,42.05328045,-71.46609727990688,1.0
47202,47203,mdp.39015015209623,417,Alhambra Theatre,LOCATION,37.798372799999996,-122.4219470496113,1.0
2649228,2649343,mdp.39015013331627,21,North,LOCATION,40.3736611,127.0870417,1.0
2465676,2465784,mdp.39015014862489,151,Ciudad Villalonga,LOCATION,-32.8831791,-68.8479063,1.0
328960,328967,uc2.ark:/13960/t02z12t8w,163,Virginia,LOCATION,37.1232245,-78.4927721,3.0
413456,413465,uc2.ark:/13960/t3cz32x93,89,Conroe,LOCATION,30.3118769,-95.4560512,1.0
2232184,2232279,uc1.$b401346,525,Nazareth,LOCATION,32.7066301,35.3048161,1.0
2752963,2753087,ucbk.ark:/28722/h29z8m,227,Arctic,LOCATION,42.1856379,-75.4143448,1.0
289002,289007,uva.x000457192,170,New York,LOCATION,40.7127281,-74.0060152,13.0
185233,185234,mdp.39015021862308,66,Macon,LOCATION,32.8406946,-83.6324022,1.0
1758769,1758856,emu.010001216911,266,Lexington,LOCATION,38.0464066,-84.4970393,1.0
1187234,1187259,mdp.39015001511172,97,Claybourne,LOCATION,35.7484851,-78.8291734,1.0
497766,497777,mdp.39015016452453,128,Iron City,LOCATION,35.0239716,-87.5814133,1.0
2794335,2794459,uiug.30112001309100,281,America,LOCATION,51.4371483,5.9799001,12.0
1275992,1276041,mdp.39015010399841,127,Egypt,LOCATION,26.2540493,29.2675469,1.0
1736125,1736212,uva.x000951729,71,Formosa,LOCATION,23.9739374,120.9820179,1.0
1739254,1739341,uva.x000951729,172,Balkans,LOCATION,41.77863335,23.814655401592667,1.0
136292,136293,mdp.39015053394667,231,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
833162,833187,mdp.39015018046923,259,Atlanta,LOCATION,33.7489924,-84.3902644,8.0
611032,611050,uc2.ark:/13960/t78s4m33w,261,Wilmington,LOCATION,39.7459468,-75.546589,2.0
2457357,2457465,mdp.39015013742807,96,Carteret,LOCATION,40.5773266,-74.2282005,1.0
1387213,1387262,mdp.39015054095792,323,America,LOCATION,51.4371483,5.9799001,12.0
22882,22883,uc1.32106002160320,243,Iran,LOCATION,32.6475314,54.5643516,1.0
2308608,2308704,mdp.39015010962861,314,South,LOCATION,36.638392,127.6961188,14.0
303845,303850,osu.32435018054957,302,England,LOCATION,52.5310214,-1.2649062,3.0
494498,494509,emu.010001355555,133,North Carolina,LOCATION,35.6729639,-79.0392919,1.0
329517,329524,uc2.ark:/13960/t02z12t8w,197,Columbus,LOCATION,39.9622601,-83.0007065,1.0
1979168,1979261,txu.059173005430726,184,Delgadina,LOCATION,15.1493699,145.7042143,1.0
